dimension,group,n,sufficient,precision_dropout,recall_dropout,false_negative_rate,f2_dropout,accuracy
faixa_etaria,17-22,376,True,0.6888888888888889,0.8454545454545455,0.15454545454545454,0.808695652173913,0.8430851063829787
faixa_etaria,23-30,78,True,0.9148936170212766,0.8431372549019608,0.1568627450980392,0.8565737051792829,0.8461538461538461
faixa_etaria,31-40,61,True,0.96875,0.9117647058823529,0.08823529411764708,0.9226190476190477,0.9344262295081968
faixa_etaria,41+,30,True,0.8947368421052632,0.9444444444444444,0.05555555555555558,0.9340659340659341,0.9
turno_noturno,0,491,True,0.7729468599033816,0.851063829787234,0.14893617021276595,0.8342022940563086,0.8472505091649695
turno_noturno,1,54,True,0.9230769230769231,0.96,0.040000000000000036,0.9523809523809523,0.9444444444444444
bolsa,0,414,True,0.8125,0.8666666666666667,0.1333333333333333,0.8552631578947368,0.8429951690821256
bolsa,1,131,True,0.6,0.8333333333333334,0.16666666666666663,0.7731958762886598,0.9007633587786259
internacional,0,532,True,0.7857142857142857,0.8627450980392157,0.13725490196078427,0.8461538461538461,0.8571428571428571
internacional,1,13,False,0.8888888888888888,0.8888888888888888,0.11111111111111116,0.8888888888888888,0.8461538461538461
deslocado,0,229,True,0.8672566371681416,0.8990825688073395,0.1009174311926605,0.8925318761384335,0.8864628820960698
deslocado,1,316,True,0.7166666666666667,0.8269230769230769,0.17307692307692313,0.8022388059701493,0.8354430379746836
